Reference area,Source,Sex,Occupation,Time,Local currency,2017 PPP $,U.S. dollars
Malta,HIES - EU Statistics on Income and Living Conditions,Female,Total,2020,1998.75,3095.73,2282.96
Mexico,LFS - Encuesta Nacional de Ocupación y Empleo,Total,Total,2020,7048.44,635.62,328.05
Mexico,LFS - Encuesta Nacional de Ocupación y Empleo,Male,Total,2020,7382.05,665.70,343.58
Mexico,LFS - Encuesta Nacional de Ocupación y Empleo,Female,Total,2020,6531.01,588.96,303.97
Mongolia,ADM-IR - Report of the General Authority for Social insurance,Total,Total,2020,1220600.00,1241.38,433.87
Mongolia,ADM-IR - Report of the General Authority for Social insurance,Male,Total,2020,1326200.00,1348.77,471.41
Mongolia,ADM-IR - Report of the General Authority for Social insurance,Female,Total,2020,1109600.00,1128.49,394.41
Netherlands,HIES - EU Statistics on Income and Living Conditions,Total,Total,2020,4552.73,5338.09,5200.11
Netherlands,HIES - EU Statistics on Income and Living Conditions,Male,Total,2020,5364.72,6290.14,6127.56
Netherlands,HIES - EU Statistics on Income and Living Conditions,Female,Total,2020,3649.92,4279.54,4168.93
Occupied Palestinian Territory,LFS - Labour Force Survey,Total,Total,2020,2893.61,5057.74,
Occupied Palestinian Territory,LFS - Labour Force Survey,Male,Total,2020,2983.69,5215.19,
Occupied Palestinian Territory,LFS - Labour Force Survey,Female,Total,2020,2444.93,4273.50,
Poland,HIES - EU Statistics on Income and Living Conditions,Total,Total,2020,1159.71,,
Poland,HIES - EU Statistics on Income and Living Conditions,Male,Total,2020,1265.57,,
Poland,HIES - EU Statistics on Income and Living Conditions,Female,Total,2020,1047.78,,
Portugal,LFS - Inquérito ao Emprego,Total,Total,2020,951.00,1459.69,1086.23
Portugal,LFS - Inquérito ao Emprego,Male,Total,2020,1031.00,1582.48,1177.60
Portugal,LFS - Inquérito ao Emprego,Female,Total,2020,879.00,1349.18,1003.99
Saudi Arabia,LFS - Labour Force Survey,Total,Total,2020,6563.80,3874.80,1750.35
Saudi Arabia,LFS - Labour Force Survey,Male,Total,2020,6650.60,3926.04,1773.49
Saudi Arabia,LFS - Labour Force Survey,Female,Total,2020,6065.50,3580.64,1617.47
Singapore,LFS - Labour Force Survey,Total,Total,2020,4534.00,4394.50,3286.12
Singapore,LFS - Labour Force Survey,Male,Total,2020,4719.00,4573.81,3420.21
Singapore,LFS - Labour Force Survey,Female,Total,2020,4374.00,4239.42,3170.16
Spain,HIES - EU Statistics on Income and Living Conditions,Total,Total,2020,2626.70,3753.69,3000.21
Spain,HIES - EU Statistics on Income and Living Conditions,Male,Total,2020,2873.06,4105.75,3281.60
Spain,HIES - EU Statistics on Income and Living Conditions,Female,Total,2020,2349.41,3357.42,2683.48
United Kingdom,ES - Annual Survey of Hours and Earnings,Total,Total,2020,2488.00,3171.48,3189.75
United Kingdom,ES - Annual Survey of Hours and Earnings,Male,Total,2020,2954.00,3765.50,3787.18
United Kingdom,ES - Annual Survey of Hours and Earnings,Female,Total,2020,2041.00,2601.69,2616.67
United States,LFS - Current Population Survey,Total,Total,2020,4502.19,4502.19,4502.19
United States,LFS - Current Population Survey,Male,Total,2020,5036.62,5036.62,5036.62
United States,LFS - Current Population Survey,Female,Total,2020,3925.00,3925.00,3925.00
